CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
Honolulu Community College,Human Services,Certificate of Achievement,Community Service,Human Services (Certificate of Achievement - Community Service),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at West Oahu,Public Administration,Bachelor of Arts,Disaster Prep & Emgncy Mgmt,Public Administration (Bachelor of Arts - Disaster Prep & Emgncy Mgmt),440401,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at West Oahu,Public Administration,Bachelor of Arts,Health Care Administration,Public Administration (Bachelor of Arts - Health Care Administration),440401,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at Manoa,Economics,Special Non-Degree,,Economics (Special Non-Degree),450601,SOCIAL SCIENCES
University of Hawaii at Hilo,Geography,Subject Certificate,Environmental Studies,Geography (Subject Certificate - Environmental Studies),450701,SOCIAL SCIENCES
University of Hawaii at West Oahu,Social Science,Subject Certificate,Social Sci Health & Medicine,Social Science (Subject Certificate - Social Sci Health & Medicine),450101,SOCIAL SCIENCES
University of Hawaii at Manoa,Economics,Bachelor of Arts,Quantitative Economics,Economics (Bachelor of Arts - Quantitative Economics),450601,SOCIAL SCIENCES
University of Hawaii at Manoa,Geography,Doctor of Philosophy,"Ecology, Evolutn, Conserv Biol","Geography (Doctor of Philosophy - Ecology, Evolutn, Conserv Biol)",450701,SOCIAL SCIENCES
University of Hawaii at Manoa,Anthropology,Master of Arts,"Ecology, Evolutn, Conserv Biol","Anthropology (Master of Arts - Ecology, Evolutn, Conserv Biol)",450201,SOCIAL SCIENCES
Kauai Community College,Carpentry Technology,Certificate of Achievement,,Carpentry Technology (Certificate of Achievement),460201,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Certificate of Competence,Energy Production,Construction Technology (Certificate of Competence - Energy Production),460415,CONSTRUCTION TRADES
Honolulu Community College,Applied Trades,Certificate of Achievement,,Applied Trades (Certificate of Achievement),460000,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Certificate of Competence,Safety,Sustainable Construction Tech (Certificate of Competence - Safety),460000,CONSTRUCTION TRADES
Honolulu Community College,Refrigeration & Air Cond Tech,Associate in Applied Science,,Refrigeration & Air Cond Tech (Associate in Applied Science),470201,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Auto Body Repair & Painting,Certificate of Competence,Non-Structural Repair,Auto Body Repair & Painting (Certificate of Competence - Non-Structural Repair),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
UH Maui College,Automotive Technology,Certificate of Achievement,,Automotive Technology (Certificate of Achievement),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
UH Maui College,Automotive Technology,Certificate of Competence,Heating & Air Conditioning,Automotive Technology (Certificate of Competence - Heating & Air Conditioning),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Achievement,Automotive Green Technology,Automotive Technology (Certificate of Achievement - Automotive Green Technology),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Hawaii Community College,Automotive Technology,Certificate of Achievement,,Automotive Technology (Certificate of Achievement),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
University of Hawaii at Hilo,Performing Arts,Bachelor of Arts,Drama,Performing Arts (Bachelor of Arts - Drama),500901,VISUAL AND PERFORMING ARTS
University of Hawaii at Hilo,Performing Arts,Bachelor of Arts,Music,Performing Arts (Bachelor of Arts - Music),500901,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Bachelor of Arts,Dance,Theatre & Dance (Bachelor of Arts - Dance),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Master of Fine Arts,,Theatre & Dance (Master of Fine Arts),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Pre-Nursing,Bachelor of Science,,Pre-Nursing (Bachelor of Science),511105,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Public Health,Bachelor of Arts,,Public Health (Bachelor of Arts),512201,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Hilo,Pharmacy,Graduate Certificate,Health Science Research,Pharmacy (Graduate Certificate - Health Science Research),512001,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Nurse Aide,Certificate of Competence,,Nurse Aide (Certificate of Competence),513902,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Nursing,Non Degree,,Nursing (Non Degree),513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
Leeward Community College,Subs Use Disorder Counseling,Certificate of Competence,,Subs Use Disorder Counseling (Certificate of Competence),511501,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Nursing Education,Graduate Certificate,,Nursing Education (Graduate Certificate),513203,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Medical Technology,Bachelor of Science,,Medical Technology (Bachelor of Science),511005,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kauai Community College,Public Health,Certificate of Competence,,Public Health (Certificate of Competence),512201,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Human Resource Management,Bachelor of Bus Admin,,Human Resource Management (Bachelor of Bus Admin),521001,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Hospitality and Tourism,Certificate of Achievement,,Hospitality and Tourism (Certificate of Achievement),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Business,Certificate of Achievement,Entrepreneurship,Business (Certificate of Achievement - Entrepreneurship),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Business,Certificate of Competence,Retail Foundations,Business (Certificate of Competence - Retail Foundations),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Travel & Tourism,Certificate of Achievement,,Travel & Tourism (Certificate of Achievement),520903,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Business Administration,Doctor of Philosophy,,Business Administration (Doctor of Philosophy),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Hospitality and Tourism,Certificate of Achievement,,Hospitality and Tourism (Certificate of Achievement),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Marketing,Certificate of Achievement,,Marketing (Certificate of Achievement),521401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Accounting,Associate in Science,,Accounting (Associate in Science),520302,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,General Business,Bachelor of Bus Admin,,General Business (Bachelor of Bus Admin),520101,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Accounting,Certificate of Achievement,Payroll Preparer,Accounting (Certificate of Achievement - Payroll Preparer),520302,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Management,Associate in Science,Hospitality and Tourism,Management (Associate in Science - Hospitality and Tourism),520204,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at West Oahu,Business Administration,Undeclared,,Business Administration (Undeclared),520301,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business Technology,Associate in Science,,Business Technology (Associate in Science),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Hospitality and Tourism,Certificate of Achievement,,Hospitality and Tourism (Certificate of Achievement),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Applied Business & Infor Tech,Certificate of Competence,Data Science,Applied Business & Infor Tech (Certificate of Competence - Data Science),520799,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Management,Associate in Science,Administrative Assistant,Management (Associate in Science - Administrative Assistant),520204,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at West Oahu,Labor Studies,Subject Certificate,,Labor Studies (Subject Certificate),521004,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Business Administration,Certificate of Competence,Virtual Office Assistant,Business Administration (Certificate of Competence - Virtual Office Assistant),520101,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Associate in Science,,Business (Associate in Science),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Business Technology,Certificate of Competence,Virtual Office Assistant,Business Technology (Certificate of Competence - Virtual Office Assistant),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Accounting,Certificate of Achievement,Accounting Assistant,Accounting (Certificate of Achievement - Accounting Assistant),520302,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Certificate of Competence,Management Foundations,Business (Certificate of Competence - Management Foundations),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,History,Bachelor of Arts,United States,History (Bachelor of Arts - United States),540101,HISTORY
University of Hawaii at Hilo,History,Subject Certificate,Public History,History (Subject Certificate - Public History),540101,HISTORY
UH Maui College,Agriculture,Certificate of Achievement,Floriculture Management,Agriculture (Certificate of Achievement - Floriculture Management),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Tropical Plant & Soil Sciences,Special Non-Degree,,Tropical Plant & Soil Sciences (Special Non-Degree),011299,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Subject Certificate,Energy Science-Technical,Agriculture (Subject Certificate - Energy Science-Technical),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Sustainable Agriculture,Certificate of Achievement,,Sustainable Agriculture (Certificate of Achievement),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Tropical Agroecology,Agriculture (Bachelor of Science - Tropical Agroecology),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Trop Agriculture & Environment,Bachelor of Science,"Sust Crop Prd, Soils&LndscpMgt","Trop Agriculture & Environment (Bachelor of Science - Sust Crop Prd, Soils&LndscpMgt)",010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Agricultural Science,Agriculture (Certificate of Competence - Agricultural Science),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Pest Management,Agriculture (Certificate of Competence - Pest Management),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Food Science,Master of Science,,Food Science (Master of Science),011001,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Trop Conserv Bio & Environ Sci,Master of Science,Professional Internship,Trop Conserv Bio & Environ Sci (Master of Science - Professional Internship),030104,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Global Environmental Science,Bachelor of Science,Sustainability Science,Global Environmental Science (Bachelor of Science - Sustainability Science),030104,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Environmental Design,Bachelor of Environmental Desg,,Environmental Design (Bachelor of Environmental Desg),040401,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Hilo,Hawaiian Studies,Bachelor of Science,Continuing the Culture,Hawaiian Studies (Bachelor of Science - Continuing the Culture),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Hawaii Community College,Hawaiian Studies,Associate in Arts,Kapuahi,Hawaiian Studies (Associate in Arts - Kapuahi),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Bachelor of Arts,NH History & Literature,Hawaiian Studies (Bachelor of Arts - NH History & Literature),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Master of Arts,NH History & Literature,Hawaiian Studies (Master of Arts - NH History & Literature),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Honolulu Community College,Hawaiian Studies,Associate in Arts,Hookele (Polynesian Voyaging),Hawaiian Studies (Associate in Arts - Hookele (Polynesian Voyaging)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,"Women,Gender&Sexuality Studies",Bachelor of Arts,,"Women,Gender&Sexuality Studies (Bachelor of Arts)",050207,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiinuiakea,Doctor of Philosophy,,Hawaiinuiakea (Doctor of Philosophy),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Communication & Info Science,Doctor of Philosophy,,Communication & Info Science (Doctor of Philosophy),099999,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS"
Kauai Community College,Creative Media,Certificate of Achievement,Writing Graphics Web Tech,Creative Media (Certificate of Achievement - Writing Graphics Web Tech),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Certificate of Achievement,Digital Graphic Design,Creative Media (Certificate of Achievement - Digital Graphic Design),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
University of Hawaii at Manoa,Information& Computer Sciences,Bachelor of Arts,,Information& Computer Sciences (Bachelor of Arts),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Associate in Science,,Information& Computer Sciences (Associate in Science),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Computer Science,Doctor of Philosophy,,Computer Science (Doctor of Philosophy),110701,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Certificate of Competence,Web Architecture,Digital Media Production (Certificate of Competence - Web Architecture),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Certificate of Competence,Web Design,Digital Media Production (Certificate of Competence - Web Design),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
